tissueType,UberonOntologyID,cancerType,cellType,cellName,CellOntologyID,cellMarker,geneSymbol,geneID,proteinName,proteinID,markerResource,PMID,Company
Prostate,UBERON_0002367,Normal,Normal cell,Basal cell,CL_0000646,Calcyclin,S100A6,6277,S10A6,P06703,Experiment,15280928,NA
Prostate,UBERON_0002367,Normal,Normal cell,Basal cell,CL_0000646,Keratin-5,KRT5,3852,K2C5,P13647,Experiment,29422309,NA
Prostate,UBERON_0002367,Normal,Normal cell,Basal cell,CL_0000646,P63,TP63,8626,P63,Q9H3D4,Experiment,23112115,NA
Prostate,UBERON_0002367,Normal,Normal cell,Basal cell,CL_0000646,P63,TP63,8626,P63,Q9H3D4,Experiment,22325142,NA
Prostate,UBERON_0002367,Normal,Normal cell,Basal cell,CL_0000646,P63,TP63,8626,P63,Q9H3D4,Experiment,21623182,NA
Prostate,UBERON_0002367,Normal,Normal cell,Basal cell,CL_0000646,P63,TP63,8626,P63,Q9H3D4,Experiment,20363913,NA
Prostate,UBERON_0002367,Normal,Normal cell,Basal cell,CL_0000646,TEAD1,TEAD1,7003,TEAD1,P28347,Experiment,19002168,NA
Prostate,UBERON_0002367,Normal,Normal cell,Basal cell,CL_0000646,"HMWCK, P63","NA, TP63","NA, 8626","NA, P63","NA, Q9H3D4",Experiment,17527076,NA
Prostate,UBERON_0002367,Normal,Normal cell,Basal cell,CL_0000646,"HMWCK, P63","NA, TP63","NA, 8626","NA, P63","NA, Q9H3D4",Experiment,17440968,NA
Prostate,UBERON_0002367,Normal,Normal cell,Basal cell,CL_0000646,Keratin-5,KRT5,3852,K2C5,P13647,Experiment,15280928,NA
Prostate,UBERON_0002367,Normal,Normal cell,Basal cell,CL_0000646,P63,TP63,8626,P63,Q9H3D4,Experiment,12218572,NA
Prostate,UBERON_0002367,Normal,Normal cell,Basal cell,CL_0000646,"Keratin-5, P63","KRT5, TP63","3852, 8626","K2C5, P63","P13647, Q9H3D4",Experiment,12037666,NA
Prostate,UBERON_0002367,Normal,Normal cell,Basal cell,CL_0000646,"Keratin-14, Keratin-5, P63","KRT14, KRT5, TP63","3861, 3852, 8626","K1C14, K2C5, P63","P02533, P13647, Q9H3D4",Experiment,11776479,NA
Prostate,UBERON_0002367,Normal,Normal cell,Epithelial cell,CL_0000066,E-Cadherin,CDH1,999,CADH1,P12830,Experiment,29108245,NA
Prostate,UBERON_0002367,Normal,Normal cell,Epithelial cell,CL_0000066,E-Cadherin,CDH1,999,CADH1,P12830,Experiment,25606577,NA
Prostate,UBERON_0002367,Normal,Normal cell,Epithelial cell,CL_0000066,E-Cadherin,CDH1,999,CADH1,P12830,Experiment,22006308,NA
Prostate,UBERON_0002367,Normal,Normal cell,Epithelial cell,CL_0000066,"Androgen receptor, Cytokeratin-8, Cytokeratin-18, P63","AR, KRT8, KRT18, TP63","367, 3856, 3875, 8626","ANDR, K2C8, K1C18, P63","P10275, P05787, P05783, Q9H3D4",Experiment,21427218,NA
Prostate,UBERON_0002367,Normal,Normal cell,Luminal cell,NA,CAM 5.2,KRT8,3856,K2C8,P05787,Experiment,11442667,NA
Prostate,UBERON_0002367,Normal,Normal cell,Luminal cell,NA,Cytokeratin-18,KRT18,3875,K1C18,P05783,Experiment,24672777,NA
Prostate,UBERON_0002367,Normal,Normal cell,Luminal cell,NA,"Androgen receptor, Cytokeratin-8, Cytokeratin-18","AR, KRT8, KRT18","367, 3856, 3875","ANDR, K2C8, K1C18","P10275, P05787, P05783",Experiment,18055450,NA
Prostate,UBERON_0002367,Normal,Normal cell,Luminal cell,NA,Cytokeratin-18,KRT8,3856,K2C8,P05787,Experiment,15187231,NA
Prostate,UBERON_0002367,Normal,Normal cell,Luminal cell,NA,"Cytokeratin-18, Cytokeratin-8","KRT18, KRT8","3875, 3856","K1C18, K2C8","P05783, P05787",Experiment,1370816,NA
Blood,UBERON_0000178,Normal,Normal cell,B cell,CL_0000236,"AID, CD10, CD257, CD28, CD38, CD71, CD86","AICDA, MME, TNFSF13B, CD28, CD38, TFRC, CD86","57379, 4311, 10673, 940, 952, 7037, 942","AICDA, NEP, TN13B, CD28, CD38, TFR1, CD86","Q9GZX7, P08473, Q9Y275, P10747, P28907, P02786, P42081",Experiment,23722608,NA
Blood,UBERON_0000178,Normal,Normal cell,B cell,CL_0000236,CD20,MS4A1,931,CD20,P11836,Experiment,25254006,NA
Blood,UBERON_0000178,Normal,Normal cell,B cell,CL_0000236,CD19,CD19,930,CD19,P15391,Experiment,23688120,NA
Blood,UBERON_0000178,Normal,Normal cell,B cell,CL_0000236,FMC7,MS4A1,931,CD20,P11836,Experiment,6970772,NA
Blood,UBERON_0000178,Normal,Normal cell,B cell,CL_0000236,CD19,CD19,930,CD19,P15391,Experiment,21149806,NA
Lymph node,UBERON_0000029,Normal,Normal cell,B cell Lymph node,CL_0000236,"CD19, CD27, IgM","CD19, CD27, CD40LG","930, 939, 959","CD19, CD27, CD40L","P15391, P26842, P29965",Experiment,28851380,NA
Lymph node,UBERON_0000029,Normal,Normal cell,B cell Lymph node,CL_0000236,"BOB-1, Oct-2, PAX5","POU2AF1, POU2F2, PAX5","5450, 5452, 5079","OBF1, PO2F2, PAX5","Q16633, P09086, Q02548",Experiment,22324490,NA
